"","generic_quest","alcohol_quest"
"1",0,0
"2",0,0
"3",0,0
"4",0,0
"5",0,0
"6",0,0
"7",0,0
"8",0,0
"9",0,0
"10",0,0
"11",0,0
"12",0,0
"13",0,0
"14",0,0
"15",0,0
"16",0,0
"17",0,0
"18",0,0
"19",0,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,0
"25",0,0
"26",0,0
"27",0,0
"28",0,0
"29",0,0
"30",0,0
"31",0,0
"32",0,0
"33",0,0
"34",0,0
"35",0,0
"36",0,0
"37",0,0
"38",0,0
"39",0,0
"40",0,0
"41",0,0
"42",0,0
"43",0,0
"44",0,0
"45",0,0
"46",0,0
"47",0,0
"48",0,0
"49",0,0
"50",0,0
"51",0,0
"52",0,0
"53",0,0
"54",0,0
"55",0,0
"56",0,0
"57",0,0
"58",0,0
"59",0,0
"60",0,0
"61",0,0
"62",0,0
"63",0,0
"64",0,0
"65",0,0
"66",0,0
"67",0,0
"68",0,0
"69",0,0
"70",0,0
"71",0,0
"72",0,0
"73",0,0
"74",0,0
"75",0,0
"76",0,0
"77",0,0
"78",0,0
"79",0,0
"80",0,0
"81",0,0
"82",0,0
"83",0,1
"84",0,1
"85",0,1
"86",0,1
"87",1,0
"88",1,0
"89",1,0
"90",1,0
"91",1,0
"92",1,0
"93",1,0
"94",1,0
"95",1,0
"96",1,0
"97",1,0
"98",1,0
"99",1,0
"100",1,0
"101",1,0
"102",1,0
"103",1,0
"104",1,0
"105",1,0
"106",1,0
"107",1,0
"108",1,0
"109",1,0
"110",1,0
"111",1,0
"112",1,0
"113",1,0
"114",1,0
"115",1,0
"116",1,0
"117",1,0
"118",1,0
"119",1,0
"120",1,0
"121",1,0
"122",1,0
"123",1,0
"124",1,0
"125",1,0
"126",1,1
"127",1,1
"128",1,1
"129",1,1
"130",1,1
"131",1,1
"132",1,1
"133",1,1
"134",1,1
"135",1,1
"136",1,1
"137",1,1
"138",1,1
"139",1,1
"140",1,1
"141",1,1
"142",1,1
"143",1,1
"144",1,1
"145",1,1
"146",1,1
"147",1,1
"148",1,1
"149",1,1
"150",1,1
"151",1,1
"152",1,1
"153",1,1
"154",1,1
"155",1,1
"156",1,1
"157",1,1
"158",1,1
"159",1,1
"160",1,1
"161",1,1
"162",1,1
"163",1,1
"164",1,1
"165",1,1
"166",1,1
"167",1,1
"168",1,1
"169",1,1
"170",1,1
"171",1,1
"172",1,1
"173",1,1
"174",1,1
"175",1,1
"176",1,1
"177",1,1
"178",1,1
"179",1,1
"180",1,1
"181",1,1
"182",1,1
"183",1,1
"184",1,1
"185",1,1
"186",1,1
"187",1,1
"188",1,1
"189",1,1
"190",1,1
"191",1,1
"192",1,1
"193",1,1
"194",1,1
"195",1,1
"196",1,1
"197",1,1
"198",1,1
"199",1,1
"200",1,1
"201",1,1
"202",1,1
"203",1,1
"204",1,1
"205",1,1
"206",1,1
"207",1,1
"208",1,1
"209",1,1
"210",1,1
"211",1,1
"212",1,1
"213",1,1
"214",1,1
"215",1,1
"216",1,1
"217",1,1
"218",1,1
"219",1,1
"220",1,1
"221",1,1
"222",1,1
"223",1,1
"224",1,1
"225",1,1
"226",1,1
"227",1,1
"228",1,1
"229",1,1
"230",1,1
"231",1,1
"232",1,1
"233",1,1
"234",1,1
"235",1,1
"236",1,1
"237",1,1
