"","fcg","sensitivity","specificity"
"1",3.90000009536743,0.971000015735626,0.229000002145767
"2",4.40000009536743,0.953999996185303,0.446999996900558
"3",5,0.920000016689301,0.619000017642975
"4",5.59999990463257,0.871999979019165,0.723999977111816
"5",6.09999990463257,0.744000017642975,0.873000025749207
"6",6.69999980926514,0.647000014781952,0.938000023365021
"7",7.19999980926514,0.53600001335144,0.970000028610229
"8",7.80000019073486,0.493000000715256,0.984000027179718
"9",8.30000019073486,0.430000007152557,0.991999983787537
"10",8.89999961853027,0.379000008106232,0.994000017642975
