"","creatinine","sensitivity","specificity","x"
"1",1,1,0,1
"2",1.20000004768372,0.939000010490417,0.123000003397465,0.876999974250793
"3",1.29999995231628,0.939000010490417,0.202999994158745,0.796999990940094
"4",1.39999997615814,0.908999979496002,0.28099998831749,0.718999981880188
"5",1.5,0.818000018596649,0.379999995231628,0.620000004768372
"6",1.60000002384186,0.758000016212463,0.460999995470047,0.539000034332275
"7",1.70000004768372,0.726999998092651,0.535000026226044,0.464999973773956
"8",1.79999995231628,0.635999977588654,0.648999989032745,0.351000010967255
"9",1.89999997615814,0.635999977588654,0.711000025272369,0.288999974727631
"10",2,0.545000016689301,0.765999972820282,0.234000027179718
"11",2.09999990463257,0.485000014305115,0.773000001907349,0.226999998092651
"12",2.20000004768372,0.485000014305115,0.802999973297119,0.197000026702881
"13",2.29999995231628,0.393999993801117,0.810999989509583,0.189000010490417
"14",2.40000009536743,0.393999993801117,0.842999994754791,0.157000005245209
"15",2.5,0.363999992609024,0.870000004768372,0.129999995231628
"16",2.59999990463257,0.333000004291534,0.890999972820282,0.109000027179718
"17",2.70000004768372,0.333000004291534,0.893999993801117,0.106000006198883
"18",2.79999995231628,0.333000004291534,0.896000027656555,0.103999972343445
"19",2.90000009536743,0.303000003099442,0.908999979496002,0.0910000205039978
"20",3,0,1,0
